iteration,strategy,constraint,selected_threshold,in_bag_sensitivity,in_bag_specificity,in_bag_mcc,n_oob,events_oob,oob_threshold,oob_tp,oob_fp,oob_tn,oob_fn,oob_sensitivity_rule_out,oob_specificity_rule_in,oob_positive_predictive_value,oob_negative_predictive_value,oob_balanced_accuracy,oob_f1_score,oob_mcc
286,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.08432454822023523,1.0,0.4716981132075472,0.3761773969316394,67,13,0.08432454822023523,12,34,20,1,0.9230769230769231,0.37037037037037035,0.2608695652173913,0.9523809523809523,0.6467236467236468,0.4067796610169492,0.25015552605422964
286,Rule-in,in-bag specificity >=90%; maximize MCC,0.36978129459080955,0.4444444444444444,0.9371069182389937,0.43548459347750196,67,13,0.36978129459080955,3,4,50,10,0.23076923076923078,0.9259259259259259,0.42857142857142855,0.8333333333333334,0.5783475783475783,0.3,0.20258136070693764
287,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.09238161511636558,1.0,0.5345911949685535,0.4182787567559997,72,12,0.09238161511636558,10,33,27,2,0.8333333333333334,0.45,0.23255813953488372,0.9310344827586207,0.6416666666666667,0.36363636363636365,0.21529338815476795
287,Rule-in,in-bag specificity >=90%; maximize MCC,0.4256603439554075,0.5833333333333334,0.9245283018867925,0.525509706356521,72,12,0.4256603439554075,5,8,52,7,0.4166666666666667,0.8666666666666667,0.38461538461538464,0.8813559322033898,0.6416666666666667,0.4,0.2745150993393978
288,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.09901073843479509,1.0,0.44025157232704404,0.35607927885540974,73,15,0.09901073843479509,13,27,31,2,0.8666666666666667,0.5344827586206896,0.325,0.9393939393939394,0.7005747126436781,0.4727272727272727,0.3256708105393219
288,Rule-in,in-bag specificity >=90%; maximize MCC,0.364249730729441,0.4166666666666667,0.9811320754716981,0.5332002352309123,73,15,0.364249730729441,5,2,56,10,0.3333333333333333,0.9655172413793104,0.7142857142857143,0.8484848484848485,0.6494252873563219,0.45454545454545453,0.41010279944830974
289,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.14181359072270294,0.9444444444444444,0.5345911949685535,0.37389196643118083,66,11,0.14181359072270294,11,26,29,0,1.0,0.5272727272727272,0.2972972972972973,1.0,0.7636363636363637,0.4583333333333333,0.3959251908590267
289,Rule-in,in-bag specificity >=90%; maximize MCC,0.32492651866470457,0.5833333333333334,0.9182389937106918,0.5128979738281962,66,11,0.32492651866470457,8,8,47,3,0.7272727272727273,0.8545454545454545,0.5,0.94,0.7909090909090909,0.5925925925925926,0.5059644256269407
290,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.1417804401035159,0.9444444444444444,0.5534591194968553,0.387506635168686,67,11,0.1417804401035159,10,24,32,1,0.9090909090909091,0.5714285714285714,0.29411764705882354,0.9696969696969697,0.7402597402597402,0.4444444444444444,0.35604502888952066
290,Rule-in,in-bag specificity >=90%; maximize MCC,0.37275960337358377,0.4722222222222222,0.9622641509433962,0.5226342068518008,67,11,0.37275960337358377,5,4,52,6,0.45454545454545453,0.9285714285714286,0.5555555555555556,0.896551724137931,0.6915584415584416,0.5,0.4161849730956435
291,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.09557800861718727,0.9444444444444444,0.6226415094339622,0.4403257558381109,76,17,0.09557800861718727,13,28,31,4,0.7647058823529411,0.5254237288135594,0.3170731707317073,0.8857142857142857,0.6450648055832502,0.4482758620689655,0.24255854115680944
291,Rule-in,in-bag specificity >=90%; maximize MCC,0.4451769661926866,0.6111111111111112,0.949685534591195,0.6030490260493513,76,17,0.4451769661926866,5,4,55,12,0.29411764705882354,0.9322033898305084,0.5555555555555556,0.8208955223880597,0.613160518444666,0.38461538461538464,0.29188833189818625
292,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.056339429658634095,1.0,0.3333333333333333,0.29070094986690553,80,15,0.056339429658634095,13,39,26,2,0.8666666666666667,0.4,0.25,0.9285714285714286,0.6333333333333333,0.3880597014925373,0.2182178902359924
292,Rule-in,in-bag specificity >=90%; maximize MCC,0.37836547526289116,0.3888888888888889,1.0,0.5844832128906808,80,15,0.37836547526289116,2,4,61,13,0.13333333333333333,0.9384615384615385,0.3333333333333333,0.8243243243243243,0.5358974358974359,0.19047619047619047,0.10639084227042907
293,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.2742036759413766,0.9166666666666666,0.7232704402515723,0.5079263456878307,68,15,0.2742036759413766,8,11,42,7,0.5333333333333333,0.7924528301886793,0.42105263157894735,0.8571428571428571,0.6628930817610064,0.47058823529411764,0.30105189084243933
293,Rule-in,in-bag specificity >=90%; maximize MCC,0.44209666711196177,0.5555555555555556,0.9622641509433962,0.5910148054337526,68,15,0.44209666711196177,4,1,52,11,0.26666666666666666,0.9811320754716981,0.8,0.8253968253968254,0.6238993710691824,0.4,0.39366552639348534
294,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.10687267223519778,0.9722222222222222,0.4968553459119497,0.3699990115204557,74,16,0.10687267223519778,14,28,30,2,0.875,0.5172413793103449,0.3333333333333333,0.9375,0.6961206896551724,0.4827586206896552,0.32593257006608756
294,Rule-in,in-bag specificity >=90%; maximize MCC,0.33961745085445183,0.6388888888888888,0.9119496855345912,0.5450605532398433,74,16,0.33961745085445183,10,6,52,6,0.625,0.896551724137931,0.625,0.896551724137931,0.7607758620689655,0.625,0.521551724137931
295,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.17245989639521864,0.9166666666666666,0.710691823899371,0.4958188712420389,75,14,0.17245989639521864,9,30,31,5,0.6428571428571429,0.5081967213114754,0.23076923076923078,0.8611111111111112,0.5755269320843092,0.33962264150943394,0.11780866132063199
295,Rule-in,in-bag specificity >=90%; maximize MCC,0.446162324573253,0.5277777777777778,0.9308176100628931,0.4931475680310116,75,14,0.446162324573253,5,6,55,9,0.35714285714285715,0.9016393442622951,0.45454545454545453,0.859375,0.6293911007025761,0.4,0.285021097979393
